"TELERIDE_NUMBER","STOP_NAME","STATUS","CREATE_DT_UTC","MOD_DT_UTC","GLOBALID","POINT"
"7354","NB 19 ST NE @ 41 AV NE","ACTIVE","2025/08/19","2025/08/19","2e89a10b-1916-4eb6-a1f5-090d3b4cec9a","POINT (-114.0114369 51.0916333)"
"4498","EB Temple DR @ 56 ST NE","ACTIVE","2025/08/19","2025/08/19","7b12e621-db8a-4ee0-9e3a-2688cf40b8c0","POINT (-113.9516751 51.0851147)"
"8148","NB 52 ST NE @ 26 AV NE","INACTIVE","2025/08/19","2025/08/19","ccc1f3ce-f6e0-4503-be74-31381d5ac210","POINT (-113.9582629 51.0767862)"
"1989","WB 80 AV NE @ Saddlestone GV NE","ACTIVE","2025/08/19","2025/08/19","2ef440af-c36d-4264-90ab-1ae99a41bcb3","POINT (-113.9254041 51.1252647)"
"8770","WB 26 AV SW @ 22 ST SW","ACTIVE","2025/08/19","2025/08/19","90605130-acf0-48d3-823f-f92c21e97f30","POINT (-114.1142549 51.0304992)"
"6759","WB Brentwood RD @ Brentwood Co-Op Gas","ACTIVE","2025/08/19","2025/08/19","1159df1b-9ed4-4464-81cb-235db3274cf7","POINT (-114.1306729 51.0870312)"
"4838","NB Royal Oak DR @ Royal Birch RD NW","ACTIVE","2025/08/19","2025/08/19","3459ea80-7f8b-4719-afd7-73a3c760f0c2","POINT (-114.2148936 51.1439993)"
"8025","SB 27 ST NW @ 6 AV NW","INACTIVE","2025/08/19","2025/08/19","4e6e7f78-d386-4353-a9a4-bac913fc27b6","POINT (-114.125493 51.0572571)"
"2235","WB Legacy CI SE @ Legacy View SE","INACTIVE","2025/08/19","2025/08/19","86f4c1b5-9670-4439-a93e-c204bc77654d","POINT (-114.0129084 50.8546679)"
"6115","EB Southland DR @ 5 ST SE","ACTIVE","2025/08/19","2025/08/19","bc05412d-4233-4e92-9cfb-7c22002cbd2a","POINT (-114.0518069 50.9639505)"
"9602","NB 24 ST SW @ Bridle Estates RD","ACTIVE","2025/08/19","2025/08/19","bfb86edc-a16d-4097-8de2-0f50ef0b1f7b","POINT (-114.1169698 50.8993576)"
"8385","NB Erin Woods DR @ Erin Green WY SE","ACTIVE","2025/08/19","2025/08/19","91d58ca9-ec04-4f05-9150-7e45434ef2fb","POINT (-113.9731042 51.0189557)"
"4484","WB Dover Ridge DR @ 33 ST SE","ACTIVE","2025/08/19","2025/08/19","903ee9a0-5282-4b8a-a797-efd2c6737379","POINT (-113.9857457 51.020839)"
"6367","SB Crowchild TR @ Kensington RD NW","ACTIVE","2025/08/19","2025/08/19","aca9f113-19c9-4bd3-a580-143581aacf5c","POINT (-114.1182275 51.0529045)"
"9108","EB Woodfield RD @ Woodhaven CR SW","ACTIVE","2025/08/19","2025/08/19","2a7b2f91-9315-4dcc-a538-64c161f4633a","POINT (-114.1265318 50.9337024)"
"4985","WB Martindale BV @ Martinview RD NE","ACTIVE","2025/08/19","2025/08/19","05afb2c5-1f93-49c8-8fa1-1a3ceb2cbaac","POINT (-113.9620882 51.1131806)"
"6933","SB Coventry DR @ Coverdale RD NE","ACTIVE","2025/08/19","2025/08/19","200589a0-ebe1-41ec-b7bd-2b73ef3fdff3","POINT (-114.0436705 51.159483)"
"5821","EB Scenic Acres BV @ Scenic Acres DR NW","ACTIVE","2025/08/19","2025/08/19","96ea0865-66c6-4c43-ab99-c28fd0d6eee9","POINT (-114.2102158 51.1193775)"
"6012","SB 11 ST NE @ 53 AV NE","ACTIVE","2025/08/19","2025/08/19","343a6077-594d-43e6-8d4c-80e43ef97864","POINT (-114.0366038 51.0996772)"
"6614","EB 32 AV NW @ 37 ST NW","ACTIVE","2025/08/19","2025/08/19","576cd4fb-2db9-43d4-a130-38891813391f","POINT (-114.1406198 51.0813656)"
"3621","Somerset-Bridlewood Stn","ACTIVE","2025/08/19","2025/08/19","c0447245-c79c-4459-a833-8cc8ef89e8ed","POINT (-114.0699698 50.8986633)"
"5165","EB Bergen RD @ Bermuda DR NW","ACTIVE","2025/08/19","2025/08/19","d45f6402-b003-41a2-9741-52fefee0c60d","POINT (-114.0745394 51.1291918)"
"7569","SB 36 ST NE @ 26 AV NE","ACTIVE","2025/08/19","2025/08/19","7dd59756-920f-47d6-ae47-374d02b76ed0","POINT (-113.9820092 51.0770217)"
"2391","NB 36 ST NE @ 84 AV NE","INACTIVE","2025/08/19","2025/08/19","0d9d3068-e742-43ae-acea-4e2331c5aa0e","POINT (-113.9813925 51.1290714)"
"4383","WB Country Hills BV @ Panorama Hills BV NW","ACTIVE","2025/08/19","2025/08/19","2afd9156-4f5b-4c67-b522-99c9580887fb","POINT (-114.0748335 51.1482771)"
"8311","NB Queensland DR @ Queen Alexandra WY SE","ACTIVE","2025/08/19","2025/08/19","12a0e5e4-14a5-4579-a3bd-f631be71d1d1","POINT (-114.0265627 50.9381418)"
"3507","NB 52 ST SE @ McKenzie Terminal","ACTIVE","2025/08/19","2025/08/19","730d1bf8-fbb3-4a8c-9451-e112a3df8e31","POINT (-113.95709 50.9154449)"
"2449","Aspen Stone Blvd @ Aspenmont ht SW nearside","ACTIVE","2025/08/19","2025/08/19","baec0bae-5b87-4425-a268-f5b0af9b3a53","POINT (-114.2148261 51.0405067)"
"5210","NB Elbow DR @  Haverhill RD SW","ACTIVE","2025/08/19","2025/08/19","f8b7fe55-3f21-4d0d-91ca-b417c8fb81f9","POINT (-114.0838816 50.9762699)"
"5097","NB Hunterview DR @ 72 AV NW","ACTIVE","2025/08/19","2025/08/19","a611db13-bfcd-42c4-9d21-4e0f6734d1c8","POINT (-114.081248 51.1166589)"
"5464","NB 4 ST SW@ 7 AV SW","ACTIVE","2025/08/19","2025/08/19","19cf13d4-f90d-47c4-85be-8158f363ce8c","POINT (-114.0713462 51.0463503)"
"9447","SB Sunridge WY @ 23 AV NE","ACTIVE","2025/08/19","2025/08/19","423fee66-5979-4aea-96a3-dc26006702e9","POINT (-113.9986219 51.0713898)"
"5933","WB Capri AV @ Charleswood DR NW","INACTIVE","2025/08/19","2025/08/19","52f07ee0-5236-4233-addd-10c6485cb745","POINT (-114.1160506 51.0918161)"
"3899","SB 42 ST SE @ 104 AV SE","INACTIVE","2025/08/19","2025/08/19","a4889782-038a-49d0-8118-468c53fa9602","POINT (-113.9741619 50.9602271)"
"7348","NB 32 ST NE @ 37 AV NE","ACTIVE","2025/08/19","2025/08/19","781529b8-b1d5-43c2-8b5e-40765664dc61","POINT (-113.9885628 51.087115)"
