"Year","Month","Adult Book of Tickets Ridership","Adult Cash-Single Ticket Ride Ridership","Adult Day Pass Ridership","Adult Low Income Monthly Pass Ridership","Adult Monthly Pass Ridership","Adult Ridership","Airport BRT Ridership - Total Trips","Boarding Passengers","Bus Boarding Passengers","CTrain Boarding Passengers","Free Fare Zone Ridership","Low Income Monthly Pass Ridership","Ridership","Seniors Low Income Pass Ridership","Seniors Pass Ridership","Seniors Regular Pass Ridership","U-Pass Ridership","Youth Book of Tickets Ridership","Youth Cash-Single Ticket Ride Ridership","Youth Day Pass Ridership","Youth Low Income Monthly Pass Ridership","Youth Monthly Pass Ridership","Youth Ridership","Weekend Group Pass Ridership","Date"
"2024","Oct","269,807","1,131,285","48,363","2,103,188","1,855,656","5,408,299","0","16,288,750","7,328,348","8,960,400","863,503","2,459,596","10,032,900","281,078","703,659","422,581","1,196,900","67,779","127,340","4,765","356,408","936,762","1,493,054","13,341","2024/10"
"2024","Sep","195,031","1,062,488","56,045","1,944,800","1,747,068","5,005,432","0","15,245,320","6,730,224","8,515,100","811,412","2,278,368","9,364,500","274,112","689,940","415,828","1,148,800","83,617","119,742","5,740","333,568","926,990","1,469,657","19,019","2024/09"
"2024","Aug","202,148","1,163,989","75,672","1,994,713","1,741,998","5,178,520","0","12,534,820","5,447,923","7,086,900","796,814","2,224,108","7,740,400","267,118","675,039","407,921","306,300","93,876","136,233","11,541","229,395","116,125","587,170","27,604","2024/08"
"2024","Jul","181,824","1,309,327","106,374","1,739,606","1,605,389","4,942,520","0","12,716,930","5,605,428","7,111,500","812,206","1,955,542","7,806,200","265,376","662,040","396,664","371,600","94,260","134,004","80,126","215,936","189,901","714,227","54,941","2024/07"
"2024","Jun","209,610","954,954","52,879","1,841,346","1,722,144","4,780,933","0","12,981,250","5,860,649","7,120,600","794,526","2,130,163","7,901,100","267,009","667,386","400,377","386,700","94,554","118,417","6,722","288,817","522,514","1,031,024","20,166","2024/06"
"2024","May","243,558","1,101,847","51,288","1,926,834","1,929,751","5,253,278","0","14,251,160","6,386,757","7,864,400","817,209","2,248,905","8,677,500","254,944","566,511","311,567","416,900","66,723","130,287","4,983","322,071","816,115","1,340,179","13,612","2024/05"
"2024","Apr","235,034","931,441","41,291","1,519,405","1,595,577","4,322,748","0","13,068,970","6,087,165","6,981,800","752,042","1,797,686","7,859,800","244,066","537,628","293,562","818,600","68,674","113,877","4,564","278,281","710,425","1,175,821","13,691","2024/04"
"2024","Mar","308,034","977,034","44,857","1,686,046","1,819,374","4,835,345","0","14,536,500","5,743,995","8,792,500","895,862","2,003,896","8,863,600","239,440","527,848","288,408","1,010,700","93,069","118,790","4,722","317,850","825,316","1,359,747","14,414","2024/03"
"2024","Feb","350,715","950,964","39,851","1,603,355","1,801,866","4,746,751","0","14,165,860","5,677,355","8,488,500","839,543","1,894,603","8,783,400","234,345","519,120","284,775","940,800","135,072","120,919","4,097","291,248","879,456","1,430,792","12,911","2024/02"
"2024","Jan","168,423","848,408","32,752","1,512,309","1,727,820","4,289,712","0","12,697,180","5,242,176","7,455,000","841,806","1,790,061","7,896,700","283,122","513,632","230,510","993,800","54,665","103,152","5,128","277,752","632,431","1,073,128","6,644","2024/01"
