"STATIONNAM","LEG","DIRECTION","DIST_NB","DIST_SB","DIST_EB","DIST_WB","ROUTE","STATUS","the_geom"
"45 Street SW Station","West","West/East",,,,,"202","Current","POINT (-114.154209 51.0379672)"
"Sirocco Station","West","West/East",,,,,"202","Current","POINT (-114.1690585 51.0383864)"
"City Hall Station","DTWestbnd","West",,,"200",,"201/202","Current","POINT (-114.0570171 51.0463856)"
"1st Street SW Station","DTWestbnd","West","0","0","467","439","201/202","Current","POINT (-114.0641067 51.046591)"
"Dalhousie Station","NW","North/South","3966","2732","0","0","201","Current","POINT (-114.1605397 51.1032905)"
"Southland Station","SW","North/South","1654","1064","0","0","201","Current","POINT (-114.0765747 50.9635778)"
"Fish Creek - Lacombe Station","SW","North/South","1505","1464","0","0","201","Current","POINT (-114.0730706 50.9231683)"
"Centre Street Station","DTEastbnd","East","0","0","319","544","201/202","Current","POINT (-114.0616824 51.0463775)"
"Bridgeland Station","NE","East/West","0","0","1100","1236","202","Current","POINT (-114.0403918 51.0490565)"
"8th Street SW Station","DTEastbnd","East","1199","0","205","287","201/202","Current","POINT (-114.0799704 51.0469265)"
"Marlborough Station","NE","North/South","1845","1722","0","0","202","Current","POINT (-113.9817305 51.0584328)"
"69 Street SW Station","West","West/East",,,,,"202","Current","POINT (-114.1876236 51.0376518)"
"Sunalta Station","West","West/East",,,,,"202","Current","POINT (-114.0991489 51.0448249)"
"Lions Park Station","NW","North/South","1220","923","0","0","201","Current","POINT (-114.1036053 51.0650476)"
"Sunnyside Station","NW","North/South","1026","1147","0","0","201","Current","POINT (-114.0844067 51.0562671)"
"Canyon Meadows Station","SW","North/South","2041","1505","0","0","201","Current","POINT (-114.0698064 50.9359221)"
"Barlow/Max Bell Station","NE","East/West","0","0","934","1379","202","Current","POINT (-114.0066275 51.0455025)"
"City Hall Station","DTEastbnd","East","1392","1027","0","319","201/202","Current","POINT (-114.0570135 51.0462205)"
"Downtown West - Kerby Station","DTWestbnd","West/East","0","0",,,"202","Current","POINT (-114.0872629 51.0472401)"
"Whitehorn Station","NE","North/South","2640","1276","0","0","202","Current","POINT (-113.9817569 51.0859625)"
"Martindale Station","NE","North/South",,,,,"202","Current","POINT (-113.9679166 51.1177121)"
"Erlton/Stampede Station","SW","North/South","725","1669","0","0","201","Current","POINT (-114.0589145 51.0320669)"
"SAIT/ACAD/Jubilee Station","NW","North/South","923","1026","0","0","201","Current","POINT (-114.0913273 51.0631403)"
"7th Street SW Station","DTWestbnd","West","1376","0","265","334","201/202","Current","POINT (-114.0774393 51.0469946)"
"Anderson Station","SW","North/South","1064","2041","0","0","201","Current","POINT (-114.074533 50.9543233)"
"Chinook Station","SW","North/South","2299","2200","0","0","201","Current","POINT (-114.0658228 50.9968146)"
"6th Street SW Station","DTEastbnd","East","0","0","414","410","201/202","Current","POINT (-114.0750991 51.0467799)"
"Heritage Station","SW","North/South","2200","1654","0","0","201","Current","POINT (-114.0742857 50.9779939)"
"Downtown West - Kerby Station","DTEastbnd","East","0","0",,,"202","Current","POINT (-114.087258 51.0471331)"
"Tuscany Station","NW","North/South",,,,,"201","Current","POINT (-114.2355742 51.1344773)"
"University Station","NW","North/South","1013","1130","0","0","201","Current","POINT (-114.1229235 51.080009)"
"Saddletowne Station","NE","North/South",,,,,"202","Current","POINT (-113.9481678 51.1257215)"
"Shawnessy Station","SW","North/South","1464","1239","0","0","201","Current","POINT (-114.07058 50.9105797)"
"Banff Trail Station","NW","North/South","1130","1220","0","0","201","Current","POINT (-114.1155706 51.0709608)"
"4th Street SW Station","DTWestbnd","West","0","0","439","1","201/202","Current","POINT (-114.0726819 51.0468434)"
"Rundle Station","NE","North/South","1276","1845","0","0","202","Current","POINT (-113.9817394 51.075867)"
"Zoo Station","NE","East/West","0","0","1379","1100","202","Current","POINT (-114.0248703 51.047376)"
"39 Avenue Station","SW","North/South","1669","2299","0","0","201","Current","POINT (-114.0613973 51.0175738)"
"Victoria Park/Stampede Station","SW","North/South","1027","725","0","0","201","Current","POINT (-114.0583224 51.0385869)"
"Franklin Station","NE","East/West","0","0","1723","934","202","Current","POINT (-113.9939105 51.0475399)"
"Crowfoot Station","NW","North/South","0","3966","0","0","201","Current","POINT (-114.2065665 51.1224332)"
"Westbrook Station","West","West/East",,,,,"202","Current","POINT (-114.1363761 51.0402039)"
"Somerset-Bridlewood Station","SW","North/South","1239","0","0","0","201","Current","POINT (-114.0690152 50.8990948)"
"McKnight Westwinds Station","NE","North/South","0","2640","0","0","202","Current","POINT (-113.9756671 51.1092308)"
"Brentwood Station","NW","North/South","2372","1013","0","0","201","Current","POINT (-114.1318176 51.0870541)"
"Shaganappi Point Station","West","West/East",,,,,"202","Current","POINT (-114.1250215 51.0416902)"
"3rd Street SW Station","DTEastbnd","East","0","0","544","414","201/202","Current","POINT (-114.0692767 51.0466197)"
